Name,1970,1980,1990,2000,2008-2012,2018-2022
United States,10.7%,16.2%,20.3%,24.4%,28.5%,34.3%
Alabama,7.8%,12.2%,15.7%,19.0%,22.3%,27.2%
Alaska,14.1%,21.1%,23.0%,24.7%,27.5%,30.7%
Arizona,12.6%,17.4%,20.3%,23.5%,26.6%,31.8%
Arkansas,6.7%,10.8%,13.3%,16.7%,19.8%,24.7%
California,13.4%,19.6%,23.4%,26.6%,30.5%,35.9%
Colorado,14.9%,23.0%,27.0%,32.7%,36.7%,43.7%
Connecticut,13.7%,20.7%,27.2%,31.4%,36.2%,41.4%
Delaware,13.1%,17.5%,21.4%,25.0%,28.5%,34.5%
District of Columbia,17.8%,27.5%,33.3%,39.1%,51.2%,62.6%
Florida,10.3%,14.9%,18.3%,22.3%,26.2%,32.3%
Georgia,9.2%,14.6%,19.3%,24.3%,27.8%,33.6%
Hawaii,14.0%,20.3%,22.9%,26.2%,29.6%,34.7%
Idaho,10.0%,15.8%,17.7%,21.7%,24.7%,30.2%
Illinois,10.3%,16.2%,21.0%,26.1%,31.1%,36.7%
Indiana,8.3%,12.5%,15.6%,19.4%,23.0%,28.2%
Iowa,9.1%,13.9%,16.9%,21.2%,25.3%,30.3%
Kansas,11.4%,17.0%,21.1%,25.8%,30.0%,34.7%
Kentucky,7.2%,11.1%,13.6%,17.1%,21.0%,26.5%
Louisiana,9.0%,13.9%,16.1%,18.7%,21.4%,26.1%
Maine,8.4%,14.4%,18.8%,22.9%,27.3%,34.1%
Maryland,13.9%,20.4%,26.5%,31.4%,36.3%,42.2%
Massachusetts,12.6%,20.0%,27.2%,33.2%,39.0%,45.9%
Michigan,9.4%,14.3%,17.4%,21.8%,25.5%,31.1%
Minnesota,11.1%,17.4%,21.8%,27.4%,32.2%,38.2%
Mississippi,8.1%,12.3%,14.7%,16.9%,20.0%,23.9%
Missouri,9.0%,13.9%,17.8%,21.6%,25.8%,31.2%
Montana,11.0%,17.5%,19.8%,24.4%,28.5%,34.0%
Nebraska,9.6%,15.5%,18.9%,23.7%,28.1%,33.5%
Nevada,10.8%,14.4%,15.3%,18.2%,22.2%,26.5%
New Hampshire,10.9%,18.2%,24.4%,28.7%,33.4%,39.0%
New Jersey,11.8%,18.3%,24.9%,29.8%,35.4%,42.3%
New Mexico,12.7%,17.6%,20.4%,23.5%,25.6%,29.1%
New York,11.9%,17.9%,23.1%,27.4%,32.8%,38.8%
North Carolina,8.5%,13.2%,17.4%,22.5%,26.8%,33.9%
North Dakota,8.4%,14.8%,18.1%,22.0%,27.1%,31.4%
Ohio,9.3%,13.7%,17.0%,21.1%,24.7%,30.4%
Oklahoma,10.0%,15.1%,17.8%,20.3%,23.2%,27.3%
Oregon,11.8%,17.9%,20.6%,25.1%,29.2%,35.5%
Pennsylvania,8.7%,13.6%,17.9%,22.4%,27.0%,33.8%
Rhode Island,9.4%,15.4%,21.3%,25.6%,30.8%,36.3%
South Carolina,9.0%,13.4%,16.6%,20.4%,24.6%,30.6%
South Dakota,8.6%,14.0%,17.2%,21.5%,26.0%,30.4%
Tennessee,7.9%,12.6%,16.0%,19.6%,23.5%,29.7%
Texas,10.9%,16.9%,20.3%,23.2%,26.3%,32.3%
Utah,14.0%,19.9%,22.3%,26.1%,29.9%,36.1%
Vermont,11.5%,19.0%,24.3%,29.4%,34.2%,41.7%
Virginia,12.3%,19.1%,24.5%,29.5%,34.7%,41.0%
Washington,12.7%,19.0%,22.9%,27.7%,31.6%,38.0%
West Virginia,6.8%,10.4%,12.3%,14.8%,17.9%,22.7%
Wisconsin,9.8%,14.8%,17.7%,22.4%,26.4%,32.0%
Wyoming,11.8%,17.2%,18.8%,21.9%,24.3%,29.0%
Puerto Rico,,,,18.3%,22.5%,28.3%
,,,,,,
"For 1970 and 1980, the share of adults who are college graduates includes those who completed four or more years of college regardless of degree earned. For 1990 through the most recent estimates, the share includes those who received a bachelor’s or higher degree.

Urban and rural (metro and nonmetro) definitions are based on the Office of Management and Budget's (OMB) 2023. See the What is Rural page for more information.

The Census Bureau's American Community Survey estimates are derived from survey data collected over a 5-year period.

Data are for adults 25 years of age and older.

Sources: U.S. Census Bureau, 1970, 1980, 1990, 2000 Decennial Censuses, and the 2008-2012 and  2018-2022 American Community Survey.


",,,,,,
,,,,,,
,,,,,,
,,,,,,
