Name,1970,1980,1990,2000,2008-2012,2018-2022
United States,31.1%,34.6%,30.0%,28.6%,28.2%,26.4%
Alabama,25.9%,31.8%,29.4%,30.4%,31.3%,30.4%
Alaska,37.7%,38.9%,28.7%,27.9%,27.1%,28.8%
Arizona,31.6%,34.3%,26.1%,24.3%,24.4%,23.6%
Arkansas,25.6%,33.2%,32.7%,34.1%,35.1%,34.1%
California,32.8%,31.4%,22.3%,20.1%,20.7%,20.4%
Colorado,34.4%,34.6%,26.5%,23.2%,22.4%,20.4%
Connecticut,31.7%,34.4%,29.5%,28.5%,27.9%,25.8%
Delaware,31.7%,36.2%,32.7%,31.4%,31.6%,29.7%
District of Columbia,26.2%,25.5%,21.2%,20.6%,19.1%,15.0%
Florida,30.7%,35.0%,30.1%,28.7%,29.8%,27.7%
Georgia,22.4%,28.5%,29.6%,28.7%,28.9%,27.1%
Hawaii,35.9%,35.1%,28.7%,28.5%,28.4%,26.7%
Idaho,34.6%,36.5%,30.4%,28.5%,28.0%,26.3%
Illinois,31.9%,35.1%,30.0%,27.7%,27.2%,25.3%
Indiana,36.1%,41.7%,38.2%,37.2%,35.4%,33.0%
Iowa,38.7%,42.9%,38.5%,36.1%,33.1%,30.6%
Kansas,35.8%,39.2%,32.8%,29.8%,27.8%,25.7%
Kentucky,24.1%,31.3%,31.8%,33.6%,34.0%,32.7%
Louisiana,24.7%,30.9%,31.7%,32.4%,34.3%,32.9%
Maine,35.1%,39.3%,37.1%,36.2%,34.2%,31.0%
Maryland,28.5%,32.5%,28.1%,26.7%,26.0%,23.8%
Massachusetts,34.9%,36.4%,29.7%,27.3%,25.9%,22.9%
Michigan,33.7%,38.0%,32.3%,31.3%,30.7%,28.4%
Minnesota,34.5%,38.6%,33.0%,28.8%,27.1%,23.7%
Mississippi,23.9%,29.2%,27.5%,29.4%,30.4%,29.8%
Missouri,30.6%,36.3%,33.1%,32.7%,31.7%,30.5%
Montana,34.0%,38.0%,33.5%,31.3%,30.2%,27.8%
Nebraska,37.2%,40.6%,34.7%,31.3%,28.7%,25.4%
Nevada,38.9%,40.4%,31.5%,29.3%,28.7%,27.6%
New Hampshire,34.4%,37.2%,31.7%,30.1%,29.3%,27.2%
New Jersey,31.8%,35.9%,31.1%,29.4%,29.2%,26.1%
New Mexico,30.0%,34.1%,28.7%,26.6%,26.4%,25.9%
New York,31.2%,34.1%,29.5%,27.8%,27.3%,24.9%
North Carolina,21.7%,27.8%,29.0%,28.4%,27.2%,25.2%
North Dakota,27.6%,31.3%,28.0%,27.9%,27.2%,26.1%
Ohio,35.3%,40.5%,36.3%,36.1%,34.9%,32.4%
Oklahoma,30.0%,34.8%,30.5%,31.5%,31.7%,30.8%
Oregon,35.0%,37.1%,28.9%,26.3%,24.8%,22.5%
Pennsylvania,34.5%,40.4%,38.6%,38.1%,37.2%,33.5%
Rhode Island,29.0%,32.8%,29.5%,27.8%,27.5%,26.9%
South Carolina,20.6%,27.1%,29.5%,30.0%,30.3%,28.5%
South Dakota,31.2%,36.3%,33.7%,32.9%,31.9%,29.9%
Tennessee,25.7%,31.7%,30.0%,31.6%,33.0%,31.5%
Texas,25.1%,28.8%,25.6%,24.8%,25.3%,24.5%
Utah,35.9%,36.0%,27.2%,24.6%,23.9%,22.6%
Vermont,33.0%,36.4%,34.6%,32.4%,31.2%,27.6%
Virginia,25.2%,28.4%,26.6%,26.0%,25.2%,23.9%
Washington,36.2%,37.4%,27.9%,24.9%,23.6%,21.8%
West Virginia,27.6%,35.6%,36.6%,39.4%,40.9%,39.5%
Wisconsin,34.8%,40.4%,37.1%,34.6%,33.1%,29.9%
Wyoming,36.2%,40.0%,33.2%,31.0%,30.5%,28.1%
Puerto Rico,,,,22.3%,25.7%,28.0%
,,,,,,
"For 1970 and 1980, the share of adults who are college graduates includes those who completed four or more years of college regardless of degree earned. For 1990 through the most recent estimates, the share includes those who received a bachelor’s or higher degree.

Urban and rural (metro and nonmetro) definitions are based on the Office of Management and Budget's (OMB) 2023. See the What is Rural page for more information.

The Census Bureau's American Community Survey estimates are derived from survey data collected over a 5-year period.

Data are for adults 25 years of age and older.

Sources: U.S. Census Bureau, 1970, 1980, 1990, 2000 Decennial Censuses, and the 2008-2012 and  2018-2022 American Community Survey.


",,,,,,
,,,,,,
,,,,,,
,,,,,,
