ID,Area,Year,Income Type,Source,Period Type,State Name,Income,Income Rank,Population
536483,Beaverhead,2022,Per capita income,BEA,Annual,Montana,"$60,928",12,"9,719"
536495,Yellowstone,2022,Per capita income,BEA,Annual,Montana,"$63,518",9,"169,852"
536501,Valley,2022,Per capita income,BEA,Annual,Montana,"$59,582",18,"7,513"
536503,Wheatland,2022,Per capita income,BEA,Annual,Montana,"$46,650",43,"2,032"
536505,Wibaux,2022,Per capita income,BEA,Annual,Montana,"$46,540",45,919
536507,Teton,2022,Per capita income,BEA,Annual,Montana,"$60,197",16,"6,368"
536509,Toole,2022,Per capita income,BEA,Annual,Montana,"$59,651",17,"5,082"
536511,Treasure,2022,Per capita income,BEA,Annual,Montana,"$51,553",34,758
536513,Silver Bow,2022,Per capita income,BEA,Annual,Montana,"$56,562",22,"36,068"
536515,Stillwater,2022,Per capita income,BEA,Annual,Montana,"$68,196",4,"9,177"
536517,Sweet Grass,2022,Per capita income,BEA,Annual,Montana,"$59,382",20,"3,715"
536519,Rosebud,2022,Per capita income,BEA,Annual,Montana,"$52,824",31,"8,088"
536521,Sanders,2022,Per capita income,BEA,Annual,Montana,"$44,425",49,"13,442"
536523,Sheridan,2022,Per capita income,BEA,Annual,Montana,"$52,985",29,"3,564"
536525,Ravalli,2022,Per capita income,BEA,Annual,Montana,"$60,302",15,"47,298"
536527,Richland,2022,Per capita income,BEA,Annual,Montana,"$64,385",6,"11,237"
536529,Roosevelt,2022,Per capita income,BEA,Annual,Montana,"$43,738",51,"10,572"
536531,Powder River,2022,Per capita income,BEA,Annual,Montana,"$40,797",53,"1,725"
536533,Powell,2022,Per capita income,BEA,Annual,Montana,"$50,197",37,"7,051"
536535,Prairie,2022,Per capita income,BEA,Annual,Montana,"$52,839",30,"1,107"
536537,Petroleum,2022,Per capita income,BEA,Annual,Montana,"$34,027",56,524
536539,Phillips,2022,Per capita income,BEA,Annual,Montana,"$44,965",46,"4,240"
536541,Pondera,2022,Per capita income,BEA,Annual,Montana,"$60,715",13,"6,078"
536543,Missoula,2022,Per capita income,BEA,Annual,Montana,"$63,790",8,"121,041"
536545,Musselshell,2022,Per capita income,BEA,Annual,Montana,"$49,454",39,"5,197"
536547,Park,2022,Per capita income,BEA,Annual,Montana,"$63,173",10,"17,790"
536549,Madison,2022,Per capita income,BEA,Annual,Montana,"$72,380",3,"9,265"
536551,Meagher,2022,Per capita income,BEA,Annual,Montana,"$49,399",40,"2,013"
536553,Mineral,2022,Per capita income,BEA,Annual,Montana,"$46,543",44,"5,058"
536555,Liberty,2022,Per capita income,BEA,Annual,Montana,"$73,510",2,"1,972"
536557,Lincoln,2022,Per capita income,BEA,Annual,Montana,"$44,876",47,"21,525"
536559,McCone,2022,Per capita income,BEA,Annual,Montana,"$52,988",28,"1,709"
536561,Judith Basin,2022,Per capita income,BEA,Annual,Montana,"$53,576",27,"2,105"
536563,Lake,2022,Per capita income,BEA,Annual,Montana,"$47,554",42,"32,853"
536565,Lewis and Clark,2022,Per capita income,BEA,Annual,Montana,"$59,484",19,"73,832"
536567,Granite,2022,Per capita income,BEA,Annual,Montana,"$56,476",23,"3,502"
536569,Hill,2022,Per capita income,BEA,Annual,Montana,"$54,495",26,"16,068"
536571,Jefferson,2022,Per capita income,BEA,Annual,Montana,"$60,333",14,"12,826"
536573,Garfield,2022,Per capita income,BEA,Annual,Montana,"$43,776",50,"1,218"
536575,Glacier,2022,Per capita income,BEA,Annual,Montana,"$44,512",48,"13,681"
536577,Golden Valley,2022,Per capita income,BEA,Annual,Montana,"$56,055",24,835
