Name,1970,1980,1990,2000,2008-2012,2018-2022
United States,47.7%,33.5%,24.8%,19.6%,14.3%,10.9%
Alabama,58.7%,43.5%,33.1%,24.7%,17.4%,12.3%
Alaska,33.3%,17.5%,13.4%,11.7%,8.4%,6.5%
Arizona,41.9%,27.6%,21.3%,19.0%,14.6%,11.3%
Arkansas,60.1%,44.5%,33.7%,24.7%,16.7%,11.8%
California,37.4%,26.5%,23.8%,23.2%,19.0%,15.6%
Colorado,36.1%,21.4%,15.6%,13.1%,10.1%,7.5%
Connecticut,44.0%,29.7%,20.8%,16.0%,11.0%,8.7%
Delaware,45.4%,31.4%,22.5%,17.4%,12.3%,8.8%
District of Columbia,44.8%,32.9%,26.9%,22.2%,12.5%,7.3%
Florida,47.4%,33.3%,25.6%,20.1%,14.2%,10.7%
Georgia,59.4%,43.6%,29.1%,21.4%,15.6%,11.3%
Hawaii,38.1%,26.2%,19.9%,15.4%,9.7%,7.3%
Idaho,40.5%,26.3%,20.3%,15.3%,11.4%,8.6%
Illinois,47.4%,33.5%,23.8%,18.6%,13.0%,9.9%
Indiana,47.1%,33.6%,24.4%,17.9%,13.0%,10.0%
Iowa,41.0%,28.5%,19.9%,13.9%,9.3%,7.0%
Kansas,40.1%,26.7%,18.7%,14.0%,10.3%,8.2%
Kentucky,61.5%,46.9%,35.4%,25.9%,17.6%,11.8%
Louisiana,57.8%,42.3%,31.7%,25.2%,17.8%,13.3%
Maine,45.3%,31.3%,21.2%,14.6%,9.4%,5.9%
Maryland,47.7%,32.6%,21.6%,16.2%,11.5%,9.0%
Massachusetts,41.5%,27.8%,20.0%,15.2%,10.9%,8.8%
Michigan,47.2%,32.0%,23.2%,16.6%,11.3%,8.2%
Minnesota,42.4%,26.9%,17.6%,12.1%,8.1%,6.3%
Mississippi,59.0%,45.2%,35.7%,27.1%,19.0%,13.8%
Missouri,51.2%,36.5%,26.1%,18.7%,12.8%,8.7%
Montana,40.8%,25.6%,19.0%,12.8%,8.1%,5.5%
Nebraska,40.7%,26.6%,18.2%,13.4%,9.6%,8.1%
Nevada,34.8%,24.5%,21.2%,19.3%,15.6%,12.9%
New Hampshire,42.4%,27.7%,17.8%,12.6%,8.6%,6.2%
New Jersey,47.5%,32.6%,23.3%,17.9%,12.1%,9.4%
New Mexico,44.8%,31.1%,24.9%,21.1%,16.6%,12.9%
New York,47.3%,33.7%,25.2%,20.9%,15.1%,12.4%
North Carolina,61.5%,45.2%,30.0%,21.9%,15.5%,10.6%
North Dakota,49.7%,33.6%,23.3%,16.1%,9.5%,6.5%
Ohio,46.8%,33.0%,24.3%,17.0%,11.8%,8.6%
Oklahoma,48.4%,34.0%,25.4%,19.4%,13.8%,11.1%
Oregon,40.0%,24.4%,18.5%,14.9%,10.8%,8.4%
Pennsylvania,49.8%,35.3%,25.3%,18.1%,11.7%,8.3%
Rhode Island,53.6%,38.9%,28.0%,22.0%,15.2%,10.6%
South Carolina,62.2%,46.3%,31.7%,23.7%,16.0%,10.7%
South Dakota,46.7%,32.1%,22.9%,15.4%,9.9%,7.3%
Tennessee,58.2%,43.8%,32.9%,24.1%,16.1%,10.7%
Texas,52.6%,37.4%,27.9%,24.3%,19.2%,14.8%
Utah,32.7%,20.0%,14.9%,12.3%,9.4%,6.8%
Vermont,42.9%,29.0%,19.2%,13.6%,8.7%,5.8%
Virginia,52.2%,37.6%,24.8%,18.5%,13.1%,8.9%
Washington,36.5%,22.4%,16.2%,12.9%,10.0%,7.9%
West Virginia,58.4%,44.0%,34.0%,24.8%,16.6%,11.6%
Wisconsin,45.5%,30.4%,21.4%,14.9%,9.8%,6.9%
Wyoming,37.1%,22.1%,17.0%,12.1%,7.9%,6.1%
Puerto Rico,,,,40.0%,30.3%,20.5%
,,,,,,
"For 1970 and 1980, the share of adults who are college graduates includes those who completed four or more years of college regardless of degree earned. For 1990 through the most recent estimates, the share includes those who received a bachelor’s or higher degree.

Urban and rural (metro and nonmetro) definitions are based on the Office of Management and Budget's (OMB) 2023. See the What is Rural page for more information.

The Census Bureau's American Community Survey estimates are derived from survey data collected over a 5-year period.

Data are for adults 25 years of age and older.

Sources: U.S. Census Bureau, 1970, 1980, 1990, 2000 Decennial Censuses, and the 2008-2012 and  2018-2022 American Community Survey.


",,,,,,
,,,,,,
,,,,,,
,,,,,,
